Column1,Column2,Correlation
qt_ing_rvsocial_rf,qt_ing_reserva_vaga,0.809326663275832
qt_ing_rvsocial_rf,qt_ing_rvredepublica,0.8176095682423286
qt_ing_rvsocial_rf,qt_ing_rvetnico,0.8070760609463445
qt_ing_rvsocial_rf,qt_mat_rvsocial_rf,0.8024035823906486
qt_mat_reserva_vaga,qt_ing_reserva_vaga,0.805473038022805
qt_mat_reserva_vaga,qt_mat_rvredepublica,0.9415047649865333
qt_mat_reserva_vaga,qt_mat_rvetnico,0.8786966109031077
qt_mat_reserva_vaga,qt_mat_rvsocial_rf,0.847215878575779
qt_mat_reserva_vaga,qt_conc_reserva_vaga,0.8123482552851844
qt_mat_rvredepublica,qt_ing_rvredepublica,0.814717881559971
qt_mat_rvredepublica,qt_mat_reserva_vaga,0.9415047649865333
qt_mat_rvredepublica,qt_mat_rvetnico,0.8307873504380182
qt_mat_rvredepublica,qt_mat_rvsocial_rf,0.869995008762169
qt_mat_rvredepublica,qt_conc_rvredepublica,0.819287837561704
qt_mat_rvetnico,qt_mat_reserva_vaga,0.8786966109031077
qt_mat_rvetnico,qt_mat_rvredepublica,0.8307873504380182
qt_mat_rvetnico,qt_mat_rvsocial_rf,0.8525487811974998
qt_mat_rvetnico,qt_conc_rvetnico,0.8045775914664393
qt_mat_rvsocial_rf,qt_ing_rvsocial_rf,0.8024035823906486
qt_mat_rvsocial_rf,qt_mat_reserva_vaga,0.847215878575779
qt_mat_rvsocial_rf,qt_mat_rvredepublica,0.869995008762169
qt_mat_rvsocial_rf,qt_mat_rvetnico,0.8525487811974998
qt_mat_rvsocial_rf,qt_conc_rvsocial_rf,0.8125305501038106
qt_conc_reserva_vaga,qt_mat_reserva_vaga,0.8123482552851844
qt_conc_reserva_vaga,qt_conc_rvredepublica,0.938429189180534
qt_conc_reserva_vaga,qt_conc_rvetnico,0.8352332725490149
qt_conc_rvredepublica,qt_mat_rvredepublica,0.819287837561704
qt_conc_rvredepublica,qt_conc_reserva_vaga,0.938429189180534
qt_conc_rvetnico,qt_mat_rvetnico,0.8045775914664393
qt_conc_rvetnico,qt_conc_reserva_vaga,0.8352332725490149
qt_conc_rvsocial_rf,qt_mat_rvsocial_rf,0.8125305501038106
qt_ing_procescpublica,qt_ing,0.8999142769810328
qt_ing_procescpublica,qt_ing_vg_nova,0.8862485221728574
qt_ing_procescpublica,qt_ing_nacbras,0.8994360132876815
qt_ing_procescprivada,qt_mat_procescprivada,0.869879298289457
qt_mat_procescpublica,qt_mat,0.8993872094211413
qt_mat_procescpublica,qt_mat_nacbras,0.8990073684010645
qt_mat_procescprivada,qt_mat,0.8331987257677146
qt_mat_procescprivada,qt_mat_nacbras,0.8327083211030611
qt_mat_procescprivada,qt_ing_procescprivada,0.869879298289457
qt_mat_procescprivada,qt_conc_procescprivada,0.8294907384432636
qt_conc_procescpublica,qt_conc,0.8845546366769057
qt_conc_procescpublica,qt_conc_fem,0.8121710232191813
qt_conc_procescpublica,qt_conc_nacbras,0.8829920622011085
qt_conc_procescprivada,qt_mat_procescprivada,0.8294907384432636
qt_apoio_social,qt_mat_apoio_social,0.9968866407096
qt_mat_apoio_social,qt_apoio_social,0.9968866407096
qt_ativ_extracurricular,qt_mat_ativ_extracurricular,0.9982400542630624
qt_mat_ativ_extracurricular,qt_ativ_extracurricular,0.9982400542630624
