in_capital;co_curso;qt_vg_total;qt_vg_total_diurno;qt_vg_total_noturno;qt_vg_nova;qt_vg_remanesc;qt_inscrito_total;qt_inscrito_total_diurno;qt_inscrito_total_noturno;qt_insc_vg_nova;qt_insc_vg_remanesc;qt_ing;qt_ing_fem;qt_ing_masc;qt_ing_diurno;qt_ing_noturno;qt_ing_vg_nova;qt_ing_vestibular;qt_ing_enem;qt_ing_vg_remanesc;qt_ing_outra_forma;qt_ing_0_17;qt_ing_18_24;qt_ing_25_29;qt_ing_30_34;qt_ing_35_39;qt_ing_40_49;qt_ing_50_59;qt_ing_60_mais;qt_ing_branca;qt_ing_preta;qt_ing_parda;qt_ing_amarela;qt_ing_indigena;qt_ing_cornd;qt_mat;qt_mat_fem;qt_mat_masc;qt_mat_diurno;qt_mat_noturno;qt_mat_0_17;qt_mat_18_24;qt_mat_25_29;qt_mat_30_34;qt_mat_35_39;qt_mat_40_49;qt_mat_50_59;qt_mat_60_mais;qt_mat_branca;qt_mat_preta;qt_mat_parda;qt_mat_amarela;qt_mat_indigena;qt_mat_cornd;qt_conc;qt_conc_fem;qt_conc_masc;qt_conc_diurno;qt_conc_noturno;qt_conc_18_24;qt_conc_25_29;qt_conc_30_34;qt_conc_35_39;qt_conc_40_49;qt_conc_50_59;qt_conc_60_mais;qt_conc_branca;qt_conc_preta;qt_conc_parda;qt_conc_amarela;qt_conc_indigena;qt_conc_cornd;qt_ing_nacbras;qt_mat_nacbras;qt_mat_nacestrang;qt_conc_nacbras;qt_aluno_deficiente;qt_ing_deficiente;qt_mat_deficiente;qt_conc_deficiente;qt_ing_reserva_vaga;qt_ing_rvredepublica;qt_ing_rvetnico;qt_ing_rvsocial_rf;qt_ing_rvoutros;qt_mat_reserva_vaga;qt_mat_rvredepublica;qt_mat_rvetnico;qt_mat_rvsocial_rf;qt_mat_rvoutros;qt_conc_reserva_vaga;qt_conc_rvredepublica;qt_conc_rvetnico;qt_conc_rvsocial_rf;qt_conc_rvoutros;qt_sit_trancada;qt_sit_desvinculado;qt_ing_procescpublica;qt_ing_procescprivada;qt_mat_procescpublica;qt_mat_procescprivada;qt_mat_procnaoinformada;qt_conc_procescpublica;qt_conc_procescprivada;qt_conc_procnaoinformada;qt_apoio_social;qt_ing_apoio_social;qt_mat_apoio_social;qt_conc_apoio_social;qt_ativ_extracurricular;qt_ing_ativ_extracurricular;qt_mat_ativ_extracurricular;qt_conc_ativ_extracurricular;qt_mob_academica;qt_mat_mob_academica;qt_conc_mob_academica;no_curso;no_municipio;no_cine_area_geral;tp_grau_academico;enade_faixa;cpc_faixa
1.0;1467721.0;40.0;40.0;0.0;40.0;0.0;84.0;84.0;0.0;84.0;0.0;36.0;19.0;17.0;36.0;0.0;36.0;36.0;0.0;0.0;0.0;4.0;11.0;6.0;5.0;4.0;3.0;3.0;0.0;15.0;7.0;14.0;0.0;0.0;0.0;86.0;44.0;42.0;86.0;0.0;4.0;26.0;15.0;18.0;10.0;9.0;4.0;0.0;27.0;19.0;34.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.0;86.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;0.0;0.0;6.0;8.0;2.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;2.0;17.0;10.0;26.0;12.0;74.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;10.0;0.0;10.0;0.0;0.0;0.0;0.0;agroecologia;recife;agricultura,_silvicultura,_pesca_e_veterinaria;bacharelado;SC;SC
1.0;14502.0;160.0;160.0;0.0;120.0;40.0;1102.0;1102.0;0.0;1095.0;7.0;104.0;38.0;66.0;104.0;0.0;100.0;0.0;100.0;1.0;3.0;1.0;67.0;13.0;9.0;8.0;3.0;2.0;1.0;34.0;18.0;44.0;4.0;0.0;4.0;436.0;180.0;256.0;436.0;0.0;1.0;262.0;95.0;34.0;20.0;17.0;6.0;1.0;164.0;49.0;201.0;10.0;0.0;12.0;18.0;7.0;11.0;18.0;0.0;7.0;4.0;2.0;2.0;2.0;1.0;0.0;8.0;0.0;10.0;0.0;0.0;0.0;104.0;436.0;0.0;18.0;4.0;1.0;1.0;0.0;11.0;5.0;4.0;5.0;6.0;22.0;14.0;8.0;9.0;12.0;0.0;0.0;0.0;0.0;0.0;9.0;87.0;14.0;90.0;31.0;405.0;0.0;4.0;14.0;0.0;35.0;0.0;35.0;5.0;40.0;1.0;40.0;2.0;5.0;5.0;1.0;agronomia;recife;agricultura,_silvicultura,_pesca_e_veterinaria;bacharelado;4;4
1.0;1557116.0;60.0;60.0;0.0;60.0;0.0;626.0;626.0;0.0;626.0;0.0;51.0;19.0;32.0;51.0;0.0;51.0;0.0;51.0;0.0;0.0;0.0;19.0;3.0;6.0;6.0;11.0;5.0;1.0;19.0;7.0;23.0;0.0;0.0;2.0;50.0;18.0;32.0;50.0;0.0;0.0;19.0;3.0;6.0;6.0;10.0;5.0;1.0;18.0;7.0;23.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;5.0;4.0;3.0;3.0;7.0;5.0;4.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;41.0;9.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;aquicultura;recife;agricultura,_silvicultura,_pesca_e_veterinaria;tecnologico;SC;SC
1.0;1102628.0;100.0;100.0;0.0;80.0;20.0;1404.0;1404.0;0.0;1386.0;18.0;85.0;15.0;70.0;85.0;0.0;80.0;0.0;80.0;2.0;3.0;6.0;68.0;8.0;1.0;1.0;1.0;0.0;0.0;40.0;7.0;35.0;1.0;0.0;2.0;376.0;48.0;328.0;376.0;0.0;6.0;279.0;62.0;17.0;4.0;8.0;0.0;0.0;180.0;33.0;152.0;1.0;1.0;9.0;9.0;2.0;7.0;9.0;0.0;5.0;3.0;1.0;0.0;0.0;0.0;0.0;5.0;1.0;3.0;0.0;0.0;0.0;85.0;376.0;0.0;9.0;8.0;3.0;7.0;0.0;1.0;0.0;0.0;0.0;1.0;4.0;2.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;19.0;46.0;7.0;78.0;13.0;363.0;0.0;0.0;9.0;0.0;10.0;0.0;9.0;1.0;8.0;0.0;8.0;1.0;0.0;0.0;0.0;ciencia_da_computacao;recife;computacao_e_tecnologias_da_informacao_e_comunicacao_(tic);bacharelado;4;4
1.0;103084.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ciencias_agricolas;recife;educacao;licenciatura;SC;4
1.0;14506.0;100.0;100.0;0.0;80.0;20.0;1078.0;1078.0;0.0;1071.0;7.0;75.0;44.0;31.0;75.0;0.0;69.0;0.0;69.0;5.0;1.0;2.0;64.0;4.0;1.0;0.0;4.0;0.0;0.0;31.0;6.0;37.0;1.0;0.0;0.0;349.0;229.0;120.0;349.0;0.0;2.0;254.0;63.0;16.0;6.0;7.0;1.0;0.0;134.0;39.0;166.0;5.0;2.0;3.0;21.0;16.0;5.0;21.0;0.0;8.0;12.0;1.0;0.0;0.0;0.0;0.0;9.0;4.0;8.0;0.0;0.0;0.0;75.0;349.0;0.0;21.0;10.0;2.0;9.0;0.0;3.0;1.0;0.0;1.0;2.0;8.0;5.0;2.0;5.0;3.0;0.0;0.0;0.0;0.0;0.0;7.0;39.0;5.0;70.0;11.0;338.0;0.0;0.0;21.0;0.0;25.0;0.0;24.0;6.0;21.0;0.0;21.0;6.0;0.0;0.0;0.0;ciencias_biologicas;recife;ciencias_naturais,_matematica_e_estatistica;bacharelado;3;3
1.0;14512.0;180.0;80.0;100.0;160.0;20.0;1434.0;605.0;829.0;1406.0;28.0;155.0;88.0;67.0;72.0;83.0;141.0;0.0;141.0;9.0;5.0;2.0;115.0;16.0;10.0;6.0;5.0;1.0;0.0;50.0;25.0;76.0;1.0;0.0;3.0;709.0;387.0;322.0;350.0;359.0;3.0;461.0;123.0;46.0;40.0;26.0;9.0;1.0;226.0;110.0;355.0;6.0;0.0;12.0;40.0;20.0;20.0;20.0;20.0;16.0;10.0;7.0;6.0;1.0;0.0;0.0;16.0;9.0;14.0;1.0;0.0;0.0;155.0;709.0;0.0;40.0;14.0;1.0;12.0;0.0;8.0;5.0;4.0;4.0;3.0;15.0;9.0;7.0;6.0;6.0;1.0;0.0;0.0;0.0;1.0;10.0;110.0;13.0;142.0;32.0;677.0;0.0;2.0;38.0;0.0;31.0;0.0;29.0;5.0;36.0;0.0;35.0;3.0;0.0;0.0;0.0;ciencias_biologicas;recife;educacao;licenciatura;4;4
1.0;1377529.0;120.0;120.0;0.0;80.0;40.0;825.0;825.0;0.0;819.0;6.0;69.0;41.0;28.0;69.0;0.0;66.0;0.0;66.0;3.0;0.0;0.0;43.0;7.0;6.0;4.0;5.0;0.0;4.0;29.0;6.0;30.0;0.0;0.0;4.0;232.0;137.0;95.0;232.0;0.0;0.0;132.0;37.0;24.0;10.0;18.0;5.0;6.0;86.0;24.0;110.0;4.0;0.0;8.0;4.0;3.0;1.0;4.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;69.0;232.0;0.0;4.0;7.0;0.0;5.0;0.0;8.0;4.0;3.0;3.0;4.0;13.0;6.0;5.0;5.0;7.0;0.0;0.0;0.0;0.0;0.0;3.0;49.0;11.0;58.0;17.0;215.0;0.0;1.0;3.0;0.0;7.0;0.0;7.0;0.0;10.0;0.0;10.0;0.0;0.0;0.0;0.0;ciencias_do_consumo;recife;ciencias_sociais,_comunicacao_e_informacao;bacharelado;SC;SC
1.0;14515.0;100.0;0.0;100.0;80.0;20.0;704.0;0.0;704.0;696.0;8.0;84.0;24.0;60.0;0.0;84.0;79.0;0.0;79.0;4.0;1.0;4.0;54.0;11.0;3.0;4.0;8.0;0.0;0.0;31.0;8.0;43.0;2.0;0.0;0.0;321.0;86.0;235.0;0.0;321.0;4.0;162.0;81.0;26.0;19.0;25.0;4.0;0.0;125.0;26.0;162.0;2.0;1.0;5.0;13.0;7.0;6.0;0.0;13.0;5.0;4.0;1.0;0.0;2.0;1.0;0.0;4.0;2.0;6.0;0.0;0.0;1.0;84.0;321.0;0.0;13.0;7.0;3.0;4.0;0.0;4.0;2.0;1.0;1.0;2.0;6.0;4.0;3.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;13.0;69.0;6.0;78.0;8.0;313.0;0.0;0.0;13.0;0.0;3.0;0.0;3.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;ciencias_economicas;recife;ciencias_sociais,_comunicacao_e_informacao;bacharelado;3;4
1.0;14513.0;120.0;60.0;60.0;80.0;40.0;678.0;324.0;354.0;669.0;9.0;82.0;48.0;34.0;42.0;40.0;76.0;0.0;76.0;6.0;0.0;3.0;40.0;17.0;9.0;5.0;6.0;2.0;0.0;26.0;14.0;39.0;0.0;0.0;3.0;303.0;161.0;142.0;142.0;161.0;3.0;132.0;64.0;33.0;22.0;28.0;17.0;4.0;91.0;56.0;138.0;4.0;0.0;14.0;11.0;6.0;5.0;6.0;5.0;4.0;3.0;0.0;0.0;3.0;1.0;0.0;2.0;1.0;8.0;0.0;0.0;0.0;82.0;303.0;0.0;11.0;13.0;2.0;13.0;0.0;3.0;3.0;2.0;2.0;0.0;8.0;3.0;2.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;17.0;89.0;7.0;75.0;18.0;284.0;1.0;0.0;11.0;0.0;11.0;0.0;8.0;2.0;14.0;0.0;13.0;1.0;0.0;0.0;0.0;ciencias_sociais;recife;ciencias_sociais,_comunicacao_e_informacao;bacharelado;4;4
1.0;43917.0;100.0;0.0;100.0;80.0;20.0;883.0;0.0;883.0;874.0;9.0;81.0;12.0;69.0;0.0;81.0;75.0;0.0;75.0;5.0;1.0;3.0;42.0;11.0;9.0;7.0;8.0;1.0;0.0;35.0;11.0;31.0;0.0;0.0;4.0;304.0;36.0;268.0;0.0;304.0;3.0;148.0;46.0;41.0;25.0;33.0;7.0;1.0;125.0;24.0;135.0;2.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;81.0;304.0;0.0;0.0;7.0;1.0;5.0;0.0;4.0;3.0;2.0;1.0;1.0;7.0;3.0;2.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;15.0;67.0;6.0;75.0;15.0;289.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;4.0;0.0;4.0;0.0;0.0;0.0;0.0;computacao;recife;educacao;licenciatura;4;4
1.0;14500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;7.0;3.0;10.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;4.0;0.0;2.0;1.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;economia_domestica;recife;servicos;bacharelado;SC;4
