tp_grau_academico,co_curso,enade_faixa
bacharelado,16154,3
bacharelado,16155,3
bacharelado,16180,3
bacharelado,16181,3
bacharelado,16182,1
bacharelado,16280,3
bacharelado,16281,3
bacharelado,16318,3
bacharelado,16393,4
bacharelado,16395,3
bacharelado,16397,4
bacharelado,16398,4
bacharelado,16400,3
bacharelado,16402,4
bacharelado,16580,2
bacharelado,16595,4
bacharelado,16596,1
bacharelado,16628,2
bacharelado,16629,2
bacharelado,16630,3
bacharelado,16677,4
bacharelado,16687,3
bacharelado,16688,3
bacharelado,16891,1
bacharelado,16892,3
bacharelado,16899,5
bacharelado,16905,3
bacharelado,17052,3
bacharelado,17053,3
bacharelado,17073,3
bacharelado,17153,3
bacharelado,17200,5
bacharelado,17202,1
bacharelado,17411,2
bacharelado,17439,5
bacharelado,17762,3
bacharelado,17766,4
bacharelado,18066,3
bacharelado,18148,5
bacharelado,18353,4
bacharelado,18373,4
bacharelado,18385,4
bacharelado,18386,4
bacharelado,18391,4
bacharelado,18394,4
bacharelado,18396,3
bacharelado,18407,2
bacharelado,18408,3
bacharelado,18416,2
bacharelado,18424,4
bacharelado,18426,3
bacharelado,18546,4
bacharelado,18547,5
bacharelado,18548,5
bacharelado,18664,4
bacharelado,18674,3
bacharelado,18777,3
bacharelado,18852,4
bacharelado,18860,5
bacharelado,18864,5
bacharelado,18912,4
bacharelado,18953,4
bacharelado,19045,5
bacharelado,19082,5
bacharelado,19328,4
bacharelado,19486,4
bacharelado,19495,4
bacharelado,19498,4
bacharelado,19501,3
bacharelado,19562,4
bacharelado,19829,3
bacharelado,19832,3
bacharelado,20264,5
bacharelado,20266,3
bacharelado,20580,3
bacharelado,20762,5
bacharelado,20764,3
bacharelado,20855,4
bacharelado,20942,4
bacharelado,21336,2
bacharelado,21511,3
bacharelado,21514,3
bacharelado,21540,3
bacharelado,21541,4
bacharelado,21546,2
bacharelado,21586,5
bacharelado,21589,5
bacharelado,21626,5
bacharelado,21711,4
bacharelado,21860,5
bacharelado,21871,3
bacharelado,21882,2
bacharelado,21887,2
bacharelado,21896,3
bacharelado,22129,4
bacharelado,22176,3
bacharelado,22404,5
bacharelado,22407,4
bacharelado,22446,4
bacharelado,22451,5
bacharelado,22534,3
bacharelado,22844,4
bacharelado,23947,5
bacharelado,23972,5
bacharelado,24087,4
bacharelado,24092,2
bacharelado,25140,3
bacharelado,25155,5
bacharelado,25795,4
bacharelado,25835,5
bacharelado,26033,5
bacharelado,26622,2
bacharelado,26963,4
bacharelado,27228,3
bacharelado,27649,5
bacharelado,27656,5
bacharelado,27657,5
bacharelado,27673,5
bacharelado,27744,2
bacharelado,28352,4
bacharelado,28372,4
bacharelado,29354,4
bacharelado,29462,4
bacharelado,29478,5
bacharelado,29483,4
bacharelado,30501,4
bacharelado,31210,4
bacharelado,31381,5
bacharelado,31850,5
bacharelado,33003,4
bacharelado,33011,4
bacharelado,33738,5
bacharelado,33784,5
bacharelado,34642,5
bacharelado,34671,5
bacharelado,36356,3
bacharelado,37267,5
bacharelado,38202,5
bacharelado,38204,5
bacharelado,38206,4
bacharelado,38208,5
bacharelado,38216,3
bacharelado,39248,3
bacharelado,39391,2
bacharelado,39492,2
bacharelado,39861,2
bacharelado,40152,4
bacharelado,40980,4
bacharelado,41011,4
bacharelado,41054,3
bacharelado,41063,5
bacharelado,41244,4
bacharelado,41622,4
bacharelado,42040,3
bacharelado,43016,2
bacharelado,43061,2
bacharelado,43108,4
bacharelado,43188,4
bacharelado,43759,2
bacharelado,43916,5
bacharelado,44419,3
bacharelado,44421,4
bacharelado,44461,3
bacharelado,45005,4
bacharelado,45077,5
bacharelado,45157,4
bacharelado,45352,4
bacharelado,45605,3
bacharelado,47116,4
bacharelado,47740,5
bacharelado,48299,2
bacharelado,48302,3
tecnologico,49960,4
bacharelado,50198,4
bacharelado,50201,5
bacharelado,50203,3
bacharelado,50384,3
bacharelado,50538,3
bacharelado,50684,3
bacharelado,50852,4
bacharelado,50853,4
bacharelado,50902,4
bacharelado,50913,2
bacharelado,50918,2
bacharelado,50922,3
bacharelado,51618,2
bacharelado,52125,4
bacharelado,52128,2
bacharelado,52130,3
bacharelado,52136,3
bacharelado,52141,3
bacharelado,52238,4
bacharelado,52258,5
tecnologico,52437,3
bacharelado,52852,4
bacharelado,53522,5
bacharelado,53596,5
bacharelado,55514,3
bacharelado,55973,3
bacharelado,57604,4
bacharelado,57608,4
tecnologico,57638,4
tecnologico,57784,3
tecnologico,57870,3
bacharelado,57896,4
bacharelado,58084,3
bacharelado,58092,5
bacharelado,58198,2
bacharelado,58274,2
bacharelado,58508,3
bacharelado,58512,2
bacharelado,59696,4
bacharelado,60418,3
bacharelado,60549,3
bacharelado,60616,4
bacharelado,60635,3
bacharelado,60899,5
bacharelado,60900,5
bacharelado,60936,5
bacharelado,60984,5
bacharelado,61296,3
bacharelado,62936,4
bacharelado,62940,3
tecnologico,63070,4
bacharelado,63646,4
bacharelado,64064,5
bacharelado,64103,5
bacharelado,64196,2
bacharelado,64284,3
bacharelado,64594,4
bacharelado,65986,4
bacharelado,65987,4
bacharelado,66465,5
bacharelado,66897,4
bacharelado,66972,4
bacharelado,67852,3
bacharelado,68114,2
bacharelado,68123,5
bacharelado,68315,4
bacharelado,68319,2
bacharelado,68566,4
bacharelado,68567,3
tecnologico,68928,3
bacharelado,69514,5
bacharelado,69581,3
bacharelado,69787,5
bacharelado,69868,4
bacharelado,69870,5
bacharelado,69929,2
bacharelado,69931,3
bacharelado,70584,3
bacharelado,71011,4
bacharelado,71019,3
bacharelado,71033,3
bacharelado,71035,4
bacharelado,71043,4
bacharelado,71047,5
bacharelado,71071,3
tecnologico,71167,4
bacharelado,71562,5
bacharelado,71813,4
bacharelado,72602,3
bacharelado,73132,3
bacharelado,73360,4
bacharelado,73420,4
bacharelado,74064,4
tecnologico,75345,3
tecnologico,75355,5
bacharelado,79567,3
bacharelado,79690,2
bacharelado,80420,4
bacharelado,80638,4
bacharelado,81054,1
