tp_grau_academico,co_curso,enade_faixa
tecnologico,1537667,5
tecnologico,1542825,3
bacharelado,1547879,0
bacharelado,1547967,4
bacharelado,1550073,5
bacharelado,1555929,3
tecnologico,1572361,3
tecnologico,1572363,2
tecnologico,1573319,2
tecnologico,1605989,3
tecnologico,1610725,4
bacharelado,5000057,4
bacharelado,5000072,2
bacharelado,5000076,3
bacharelado,5000093,2
bacharelado,5000094,1
tecnologico,5000132,4
tecnologico,5000142,2
bacharelado,5000144,4
bacharelado,5000376,4
bacharelado,5000386,2
bacharelado,5000472,4
bacharelado,5000473,4
bacharelado,5000476,3
bacharelado,5000478,5
tecnologico,5000480,3
bacharelado,5000548,4
bacharelado,5001082,1
bacharelado,5001241,4
tecnologico,5001246,3
tecnologico,5001280,4
tecnologico,5001291,4
bacharelado,5001343,3
bacharelado,5001356,5
bacharelado,5001360,3
tecnologico,5001415,4
tecnologico,5001430,4
tecnologico,5001541,5
