tp_grau_academico,co_curso,enade_faixa,cpc_faixa
licenciatura,103029,2,3
licenciatura,115872,4,4
bacharelado,411354,3,4
licenciatura,20234,4,4
bacharelado,45498,3,3
licenciatura,19076,4,4
licenciatura,54044,3,3
licenciatura,58518,2,3
licenciatura,66299,3,3
licenciatura,66303,3,4
licenciatura,113824,3,4
licenciatura,114182,2,3
licenciatura,83296,3,3
licenciatura,83316,3,4
licenciatura,83328,3,4
licenciatura,83332,3,3
licenciatura,91671,3,4
licenciatura,92385,3,3
bacharelado,1357571,3,3
bacharelado,1363761,5,4
licenciatura,21807,3,4
licenciatura,21890,2,3
licenciatura,23051,3,3
licenciatura,47335,2,3
licenciatura,99906,2,3
licenciatura,100148,2,3
licenciatura,2722,4,4
bacharelado,123065,5,4
licenciatura,123067,5,4
licenciatura,3149,4,4
licenciatura,3154,5,4
licenciatura,3219,5,4
licenciatura,3222,4,3
licenciatura,52256,4,4
licenciatura,60255,4,5
bacharelado,66981,4,4
bacharelado,303142,5,4
bacharelado,303149,4,4
bacharelado,303154,5,4
bacharelado,303222,4,4
bacharelado,352256,4,4
licenciatura,1150789,5,4
bacharelado,1212121,4,4
licenciatura,1300116,3,4
bacharelado,1300317,4,4
licenciatura,3408,4,4
licenciatura,99370,3,3
bacharelado,303408,4,5
licenciatura,3574,4,4
bacharelado,303574,4,3
licenciatura,85762,1,2
licenciatura,3613,2,2
licenciatura,3673,5,5
bacharelado,303673,3,4
licenciatura,19491,3,4
bacharelado,319491,2,3
licenciatura,48948,4,4
bacharelado,348948,4,4
licenciatura,18894,3,4
bacharelado,69445,3,3
licenciatura,86244,2,3
bacharelado,45384,4,4
licenciatura,59412,2,3
licenciatura,59994,3,4
licenciatura,59998,2,3
licenciatura,87481,2,2
licenciatura,11310,4,4
licenciatura,11325,4,4
bacharelado,311310,4,4
licenciatura,11426,4,4
licenciatura,103303,2,4
bacharelado,311426,4,4
licenciatura,11543,4,4
bacharelado,99841,2,3
licenciatura,113703,2,3
licenciatura,11593,3,3
bacharelado,114055,3,4
bacharelado,311593,4,4
licenciatura,81296,3,4
licenciatura,103477,3,3
licenciatura,120604,2,3
licenciatura,1352592,3,3
licenciatura,1354738,3,3
licenciatura,1404068,2,3
licenciatura,18491,3,4
licenciatura,104640,2,3
bacharelado,12332,4,4
licenciatura,312332,4,4
licenciatura,12588,5,4
bacharelado,312588,5,4
bacharelado,1113241,3,4
licenciatura,1270232,4,4
licenciatura,44367,5,4
bacharelado,344367,4,4
licenciatura,12812,5,4
bacharelado,99086,3,4
bacharelado,99278,4,4
licenciatura,116852,4,4
licenciatura,116874,3,4
bacharelado,312812,4,4
licenciatura,12916,4,4
bacharelado,312916,4,4
licenciatura,12945,5,4
bacharelado,312945,5,4
licenciatura,13086,5,4
bacharelado,313086,4,4
bacharelado,13225,4,4
licenciatura,102166,3,4
licenciatura,107436,3,4
licenciatura,1288838,2,4
licenciatura,13283,5,4
bacharelado,118024,4,4
bacharelado,313283,5,4
licenciatura,13399,4,4
licenciatura,97767,4,4
bacharelado,313399,4,4
bacharelado,397767,2,3
licenciatura,20889,3,4
bacharelado,44992,3,4
licenciatura,101140,3,4
bacharelado,45003,5,4
licenciatura,45004,5,4
bacharelado,100820,4,4
licenciatura,45328,5,4
licenciatura,1084792,3,4
bacharelado,1113713,4,4
licenciatura,13974,4,4
bacharelado,313974,4,3
licenciatura,14089,4,4
bacharelado,314089,4,4
licenciatura,14218,5,5
bacharelado,314218,5,4
licenciatura,1116025,4,4
bacharelado,23976,5,4
bacharelado,29106,5,4
bacharelado,31957,5,4
bacharelado,31958,5,5
bacharelado,31959,5,4
licenciatura,44900,5,4
licenciatura,99287,5,4
bacharelado,112584,3,3
bacharelado,112586,4,4
bacharelado,121706,3,3
bacharelado,1114292,3,4
bacharelado,1180207,5,5
bacharelado,14506,3,4
licenciatura,14512,4,4
bacharelado,101834,3,3
licenciatura,1151549,3,4
licenciatura,1270469,3,4
licenciatura,1400718,4,4
bacharelado,101219,4,4
bacharelado,63838,4,4
licenciatura,122662,5,4
licenciatura,20122,3,4
bacharelado,1112281,4,4
licenciatura,100900,3,4
licenciatura,114562,3,4
licenciatura,1285018,3,4
licenciatura,1165090,4,4
licenciatura,62674,4,4
licenciatura,1103317,2,3
licenciatura,1168361,2,3
licenciatura,1168581,3,3
licenciatura,1168583,2,3
licenciatura,1188418,3,3
licenciatura,1304669,1,3
licenciatura,1338870,3,4
licenciatura,1376050,4,4
licenciatura,113735,4,4
bacharelado,113737,4,3
bacharelado,15333,4,4
licenciatura,21450,4,4
licenciatura,15410,4,4
bacharelado,21114,3,3
licenciatura,20262,4,4
licenciatura,20270,3,4
bacharelado,38881,3,4
licenciatura,94641,3,3
bacharelado,150052,3,4
bacharelado,150053,3,4
bacharelado,15786,4,4
licenciatura,100207,5,4
licenciatura,1163653,5,4
licenciatura,15831,3,3
licenciatura,15863,3,4
licenciatura,15866,3,4
licenciatura,18381,3,3
bacharelado,315831,3,4
licenciatura,18363,3,4
bacharelado,318363,3,4
licenciatura,104398,2,3
licenciatura,16269,3,3
licenciatura,16275,2,3
licenciatura,16276,3,3
licenciatura,58506,3,4
licenciatura,1436021,2,4
licenciatura,16389,3,4
bacharelado,60448,4,4
bacharelado,16591,3,3
licenciatura,1159666,3,3
licenciatura,1327518,2,2
licenciatura,1327522,2,3
licenciatura,111986,1,2
licenciatura,19016,3,4
licenciatura,19091,3,3
licenciatura,19142,3,3
licenciatura,19146,1,2
licenciatura,19152,3,4
licenciatura,19195,3,3
bacharelado,1263648,4,3
bacharelado,16897,3,4
licenciatura,118566,3,4
bacharelado,44951,2,3
licenciatura,344951,3,3
licenciatura,1270468,2,3
bacharelado,17727,4,4
licenciatura,21971,4,4
licenciatura,45711,3,3
licenciatura,45713,2,3
licenciatura,45715,2,3
licenciatura,50933,3,3
bacharelado,1190630,3,3
bacharelado,1190631,2,3
licenciatura,11660,2,3
bacharelado,50948,2,3
licenciatura,60538,4,3
licenciatura,64552,3,3
licenciatura,67813,3,3
licenciatura,85136,3,3
licenciatura,104802,4,4
licenciatura,123778,2,3
licenciatura,1159013,4,4
licenciatura,18496,4,4
bacharelado,1303607,4,4
licenciatura,1341255,3,4
licenciatura,19830,2,3
licenciatura,109616,3,4
bacharelado,409616,3,3
licenciatura,1102962,2,4
licenciatura,1105299,2,3
licenciatura,113090,3,4
licenciatura,1126666,4,4
licenciatura,1126104,3,3
licenciatura,1128029,3,3
licenciatura,1403536,4,4
licenciatura,1103692,3,4
licenciatura,1103909,3,4
licenciatura,1103451,5,4
licenciatura,1116852,4,4
licenciatura,1168211,4,4
licenciatura,1260317,4,4
licenciatura,1128547,3,3
licenciatura,71556,3,3
licenciatura,1428321,2,4
licenciatura,63045,3,3
licenciatura,83927,2,2
licenciatura,1341233,3,3
licenciatura,1341234,3,3
licenciatura,1376002,2,3
licenciatura,99802,3,4
licenciatura,99804,3,4
licenciatura,1152882,4,4
licenciatura,1161928,3,3
bacharelado,121005,4,4
licenciatura,1160425,2,3
licenciatura,1342497,2,2
licenciatura,1399733,3,2
licenciatura,1399738,2,3
licenciatura,1438391,2,3
licenciatura,1102695,4,4
licenciatura,60670,2,3
licenciatura,60674,2,3
licenciatura,61028,2,3
licenciatura,99363,4,3
licenciatura,1151328,2,3
licenciatura,1102643,3,3
licenciatura,1102801,2,3
licenciatura,5000575,3,4
licenciatura,1126887,3,4
bacharelado,105257,2,3
licenciatura,17148,2,4
bacharelado,317148,4,4
licenciatura,1101387,3,4
bacharelado,116930,3,4
licenciatura,1103186,2,3
licenciatura,1128930,3,4
licenciatura,1191349,3,4
licenciatura,1309618,3,4
licenciatura,1314994,4,4
licenciatura,1342455,3,3
licenciatura,1102499,3,4
licenciatura,1102693,3,3
licenciatura,1117559,3,4
licenciatura,1313443,4,4
bacharelado,100421,3,4
licenciatura,115037,3,4
licenciatura,15876,4,4
bacharelado,315876,3,4
licenciatura,1136925,2,3
licenciatura,1263591,2,3
licenciatura,123230,3,3
bacharelado,1102345,5,5
licenciatura,1102399,5,5
bacharelado,150087,3,3
bacharelado,1343350,3,4
licenciatura,98614,2,3
licenciatura,92740,3,3
licenciatura,103352,2,2
licenciatura,103370,2,2
licenciatura,104810,2,3
bacharelado,103451,3,4
licenciatura,123411,3,4
licenciatura,1280561,4,4
licenciatura,1112662,2,3
licenciatura,59453,3,4
licenciatura,1313179,3,3
licenciatura,1313186,2,3
licenciatura,1313187,3,3
bacharelado,5000071,4,4
licenciatura,54400,4,4
